Age,Gender,Country,JobRole,YearsAtCompany,WorkHoursPerWeek,RemoteWork,BurnoutLevel,JobSatisfaction,StressLevel,ProductivityScore,SleepHours,PhysicalActivityHrs,CommuteTime,HasMentalHealthSupport,ManagerSupportScore,HasTherapyAccess,MentalHealthDaysOff,SalaryRange,WorkLifeBalanceScore,CareerGrowthScore,BurnoutRisk,SurveyDescription
50,Male,India,Customer Support,10,45,Yes,4.26,2.81,2.61,2.79,7.3,5.3,60,No,2.93,Yes,6,40K-60K,1.96,6.49,0,"As a 10-year veteran in the Customer Support role, I feel overwhelmed by the excessive demands and stress (2.61) that has pushed my burnout level to 4.26, affecting my overall wellbeing. Despite having access to therapy, I often find it challenging to maintain a healthy work-life balance, especially with a 60-minute commute and only 7.3 hours of sleep daily. My ManagerSupportScore of 2.93 and SalaryRange of 40K-60K fail to offset the dissatisfaction I feel in my job, further impacting my wellbeing and causing mental health days off."
26,Non-binary,Germany,Customer Support,12,49,Yes,6.75,6.22,5.08,2.77,6.3,0.2,116,Yes,2.16,No,2,<40K,4.55,8.84,0,"As a 12-year customer support employee based in Germany, I often feel overwhelmed by the demands of my high-stress job that requires me to work 49 hours a week, leaving me with little time for a decent work-life balance. With only 0.2 hours of physical activity a day and a mere 6.3 hours of sleep, I struggle to maintain my mental and physical wellbeing, making me increasingly more prone to burnout. Despite having access to some form of mental health support from my manager, the lack of career growth opportunities and a salary below 40k only adds to my frustration, making me question the sustainability of my current role."
56,Male,Germany,Customer Support,6,36,Yes,9.57,1.58,5.18,4.14,6.5,0.9,93,Yes,6.2,No,0,<40K,7.86,2.62,1,"As a 56-year-old customer support employee in Germany, I feel consistently drained due to high stress levels and a significant burnout risk, which negatively impacts my overall wellbeing. My long commute and lack of career growth opportunities exacerbate these issues, further straining my work-life balance. Despite having a supportive manager, the physical demands of my job and limited access to therapy leave me feeling unfulfilled and burnt out."
30,Non-binary,Australia,Customer Support,12,59,No,2.94,7.64,2.4,6.66,5.1,3.3,43,Yes,3.46,No,6,40K-60K,4.58,1.68,0,"As a customer support representative in Australia, I often feel overwhelmed with stress from dealing with difficult customers and long work hours, which contributes to my moderate burnout level and affects my overall wellbeing. Although I have access to manager support, my lack of career growth opportunities and limited access to therapy leave me feeling unfulfilled and anxious about my job. Despite a relatively high income and decent physical activity, my poor work-life balance and constant commutes have taken a toll on my mental and physical health."
34,Prefer not to say,India,Customer Support,8,51,No,1.07,3.94,4.49,8.18,8.6,2.4,102,No,9.91,No,5,<40K,6.21,7.84,0,"As a 34-year-old customer support executive in India, I often find myself struggling to manage the immense pressure and stress levels that come with a demanding 51-hour workweek. Despite a supportive manager, I feel overwhelmed due to a lack of work-life balance and limited time for self-care, leading to burnout and impacting my overall wellbeing."
32,Non-binary,Germany,Customer Support,19,48,Hybrid,7.63,8.52,2.14,7.53,6.7,9.2,114,No,9.49,No,0,80K-100K,2.72,6.55,1,"Working in customer support for 19 years, with a demanding workload of 48 hours a week, I often find myself struggling with a burnout level of 7.63. Despite having a satisfactory job with a decent salary range, my lack of work-life balance makes it difficult to maintain a healthy stress level and sufficient sleep hours, averaging just 6.7 hours per night. The absence of mental health support, therapy access, and poor work-life balance contribute to my overall feeling of disbalance and exhaustion."
50,Male,Brazil,Customer Support,12,42,Hybrid,8.68,3.3,8.21,1.25,4.5,9,23,Yes,4.95,No,9,40K-60K,7.85,5.54,1,"As a customer support employee in Brazil, I often feel exhausted and burnt out, struggling to find a balance between my work and personal life. Working 42 hours a week on top of commuting for nearly an hour, I barely get enough sleep and manage to squeeze in physical activity, but it's clear that my mental and physical health are suffering. With a high stress level and low job satisfaction, I'm starting to wonder if my long-term career at this company is really worth the toll it's taking on my well-being."
42,Non-binary,USA,Customer Support,7,55,Yes,9.14,4.28,2.3,8.99,6.6,2.3,15,Yes,6.9,No,0,60K-80K,2.67,9.03,1,"As a 42-year-old non-binary individual in the USA, working as a Customer Support employee from home, I experience high stress levels due to a demanding 55-hour workweek, which significantly impacts my overall wellbeing. Despite being in a relatively high-paying job with a range of $60-80K, I often struggle with achieving a work-life balance, leaving me feeling burnt out with a level of 9.14. My job satisfaction is somewhat low at 4.28, and although I have access to manager support, I don't have the luxury of taking mental health days off, contributing to my poor wellbeing."
48,Female,Canada,Customer Support,6,30,Hybrid,5.16,7.99,8.58,8.14,5.2,0.2,30,Yes,8.34,Yes,8,100K+,6.69,7.63,0,"As a hybrid customer support specialist in Canada, I feel overwhelmed by the high stress levels that have become a persistent issue in my job, which affects not just my work but also my sleep, averaging only 5.2 hours a night. Despite the supportive manager and access to therapy, I struggle to achieve a balance between work and personal life, and the limited physical activity of just 0.2 hours a week only adds to my fatigue. With burnout levels reaching a critical point, it's essential that I address these issues to prevent further risks and maintain my job satisfaction, which remains reasonably high at 7.99 out of 10."
46,Female,India,Customer Support,1,40,No,6.04,6.55,8.09,3.74,4.9,0,65,Yes,3.34,No,1,40K-60K,7.83,1.72,0,"As a 46-year-old customer support employee in India, I feel consistently overwhelmed and exhausted due to the extremely high stress levels, making everyday tasks feel like a challenge. Despite having a decent salary and some degree of work-life balance, I'm struggling to cope with the burden of burnout, which has now become a significant concern for me. However, knowing that my company offers mental health support and has not yet led to burnout, gives me some sense of reassurance amidst the overwhelming work demands."
42,Female,India,Customer Support,18,57,Yes,8.58,2,2.38,3.62,6.6,8.2,46,No,6,No,1,60K-80K,6.84,9.11,1,"Working as a customer support professional in India for 18 years has taken a toll on my wellbeing, with extremely high stress levels and an overwhelming sense of burnout that affects my overall work experience. The lack of work-life balance, coupled with a 57-hour workweek and 46-minute commute, makes it challenging for me to recharge and engage in activities that bring me joy. Despite a good salary range and potential for career growth, the absence of mental health support and resources leaves me feeling unvalued and unsupported in my role."
45,Male,Brazil,Customer Support,6,34,No,6.22,2.65,6.19,6.82,7,9.2,48,Yes,2.27,No,1,40K-60K,6.72,5.86,0,"As a 45-year-old male working in customer support in Brazil, I often feel overwhelmed by the demands of my job, leading to high stress levels and a burnout risk that's difficult to manage. Despite having some physical activity and a decent commute time, I struggle to maintain a healthy sleep schedule, which exacerbates my job dissatisfaction and overall wellbeing. Regular interactions with a supportive manager, access to mental health support, and a relatively good salary range are some positives, but they don't seem to be enough to offset the toll of my job on my mental and physical health."
57,Non-binary,Canada,Customer Support,1,46,Hybrid,7.68,9.65,6.89,2.27,6.4,5.2,27,No,4.46,No,0,<40K,8.27,2.8,1,Working in a Customer Support role while having an unbalanced work-life situation affects my overall wellbeing. The high stress levels and long commute time take a toll on my mental and physical health. A hybrid remote work setup with high job satisfaction and a relatively good work-life balance score is overshadowed by the significant burnout and lack of mental health support.
37,Prefer not to say,Australia,Customer Support,5,54,No,6.83,9.17,1.39,6.45,4.9,5.8,93,No,9.21,Yes,5,80K-100K,8.1,8.97,0,"Working as a customer support in a physically demanding job with long work hours of 54 hours a week in Australia takes a toll on my wellbeing. With high burnout levels of 6.83 and very low sleep hours of 4.9 a day, I often feel exhausted and drained. Despite my good job satisfaction and manager support, the high stress levels and lack of work-life balance make it challenging to maintain my overall wellbeing."
48,Prefer not to say,India,Customer Support,20,51,Yes,7.52,6.54,7.1,1.86,6.8,3.5,27,No,6.89,Yes,3,<40K,5.02,2.51,1,"As a customer support employee in India, I'm consistently feeling overwhelmed by high stress levels and experiencing burnout, but my work-life balance is somehow manageable despite working 51 hours a week. My job satisfaction is somewhat compromised due to burnout and the fact that I'm already 7 years into burnout, yet I do appreciate the manager's support, which keeps me somewhat motivated. Overall, my mental health struggles take a toll, and I often have to take unscheduled days off to recover, all while struggling with very little career growth."
46,Male,India,Data Scientist,9,53,No,1.36,6.54,7.13,2.01,4.5,1.9,19,Yes,9.46,Yes,4,80K-100K,3.83,8.52,0,"As a 46-year-old male data scientist working in India, I feel burnt out due to high stress levels and the grueling 53 hours of work per week, but the supportive manager and access to therapy help alleviate my concerns. Despite the poor work-life balance, I'm satisfied with my job and feel a sense of career growth, which motivates me to continue. The long daily commute and insufficient sleep (only 4.5 hours per day) take a toll on my physical and mental well-being."
54,Non-binary,Brazil,Data Scientist,17,32,Yes,4.94,5.46,2.59,8.28,8.7,7.4,13,No,4.5,Yes,5,100K+,10,2.93,0,"As a 54-year-old non-binary data scientist working remotely from Brazil, feeling moderately stressed but with a high job satisfaction rate, I'm grateful for having a good work-life balance that allows me to sleep in and exercise regularly. Despite being with the same company for 17 years, some high levels of burnout and a moderate manager support score have been impacting my overall wellbeing, especially with the lack of mental health support."
41,Non-binary,India,Data Scientist,17,52,No,4.43,5.25,2.44,9.95,4.2,1,95,Yes,7.36,Yes,9,80K-100K,5.89,4.1,0,"As a 41-year-old non-binary data scientist in India, I feel consistently overwhelmed and exhausted from working 52 hours a week without remote flexibility, leading to severe burnout. Despite having access to excellent mental health support and therapy, constant stress and pressure to maintain high productivity scores take a toll on my sleep and physical activity, negatively impacting my overall wellbeing. Although my job satisfaction is high, the strain of my job and demanding manager expectations weigh heavily on my mind, making me question the value of my career growth and work-life balance."
28,Non-binary,USA,Data Scientist,3,57,Yes,9.2,9.25,6.7,7.03,7.4,9.7,94,No,2.19,Yes,8,40K-60K,9.88,8.86,1,"As a non-binary 28-year-old Data Scientist in the USA, I've found a balance between work and personal life, thanks to my 57-hour workweek being flexible enough to accommodate remote work. Despite high stress levels and an unusually high burnout level, my manager's support has been poor, which adds to my overall dissatisfaction. I still manage to maintain a decent productivity score and engage in regular physical activity, but it's clear that my work-life balance needs further improvement and better management support is essential."
22,Female,USA,Data Scientist,14,48,No,3.69,1.08,8.04,6.85,8.8,7.4,12,No,4.58,No,8,40K-60K,9.45,6.9,0,"As a 22-year-old female Data Scientist in the USA, working 48 hours a week with no remote option, I often feel overwhelmed and exhausted due to extremely high stress levels and a moderate to high risk of burnout. Despite having relatively good physical health, thanks to my regular 7.4 hours of physical activity, I struggle to find time for restful sleep and often feel drained. The lack of manager support, mental health resources, and therapy access exacerbates my stress and affects my overall wellbeing, but my excellent work-life balance and career growth prospects bring me some level of satisfaction."
30,Male,India,Data Scientist,8,54,Yes,7.06,2.28,5.05,6.33,4.1,0.8,45,Yes,5.4,Yes,4,60K-80K,7.24,5.67,1,"As a Data Scientist in India, I'm consistently working 54 hours a week from home, which has taken a toll on my wellbeing, leading to high stress levels and a burnout that's affecting my job satisfaction. Despite having support from my manager and access to therapy, I'm struggling to maintain a healthy work-life balance due to my demanding job and lack of physical activity, which is causing me to feel burnt out every day. With only 4.1 hours of sleep each day and an extremely low physical activity level, I feel exhausted and unable to cope with the pressures of my job, affecting my overall wellbeing."
42,Female,UK,Data Scientist,2,44,Hybrid,8.84,6.81,6.01,8.62,7.7,1.2,53,No,8.81,No,1,40K-60K,9.42,3.23,1,"As a female data scientist, I'm constantly feeling overwhelmed with high stress levels and immense workload, mainly due to my long commute times and lack of physical activity in my daily life, which further adds to my burnout risk. Despite my excellent work-life balance at home, I'm struggling to find time for self-care and mental well-being amidst the demands of my hybrid job and high productivity expectations. My overall job satisfaction is somewhat compromised due to inadequate support from my manager and limited access to mental health resources."
53,Male,Canada,Data Scientist,10,59,Hybrid,7.52,2.6,5.48,1.99,7.6,1.4,2,Yes,9.62,Yes,4,<40K,4.07,7.68,1,"Working as a Data Scientist in Canada for a decade has taken a toll on my wellbeing, with high burnout levels and stress that makes it difficult to balance work and life outside of the office. Despite a hybrid remote work schedule, the long hours spent on the job seem relentless, leaving me with little time to engage in physical activities or prioritize my sleep. The lack of financial satisfaction and strained work-life balance have led to mental health days off and a deep desire for better career growth opportunities."
41,Non-binary,Germany,Data Scientist,10,32,Yes,9.25,6.62,5.71,8.41,7.3,1.3,37,Yes,8.39,No,3,40K-60K,4.97,3.58,1,"As a data scientist in Germany, I feel consistently exhausted from working 32 hours a week due to high stress levels, which is affecting not only my productivity but also my mental health. Despite having a supportive manager and remote work flexibility, I feel burnt out and struggle to maintain a work-life balance, often feeling drained after just 7.3 hours of sleep each night. The lack of access to therapy and minimal opportunity for career growth adds to my stress, leaving me questioning whether my job is truly beneficial for my overall wellbeing."
58,Non-binary,Germany,Data Scientist,1,40,Hybrid,9.89,3.28,6.44,5.66,7.8,4.7,99,Yes,1.85,Yes,2,<40K,6.54,4.54,1,"As a non-binary data scientist in Germany, I feel overwhelmed by my high stress levels and burnout, which have significantly affected my work-life balance. Despite having some support from my manager and access to therapy, my job satisfaction is struggling due to a demanding workload and limited career growth opportunities. The hybrid work arrangement provides flexibility, but I often find myself working long hours, leading to inadequate sleep and impacting my overall wellbeing."
26,Female,Brazil,Data Scientist,17,52,Yes,5.89,4.74,4.24,1.55,6.5,6.5,61,No,1.06,Yes,3,100K+,4.26,3.32,0,"As a 26-year-old female data scientist in Brazil, I feel overwhelmed by the high stress levels at work, which are exacerbated by my 52-hour workweek and long remote commute time of over an hour. The lack of support from my manager, combined with the absence of mental health resources available at the office, has taken a toll on my wellbeing and led to significant burnout. Despite enjoying my job and good physical activity habits, the long work hours and little time for rest have left me with only 6.5 hours of sleep each day, impacting my daily life balance."
56,Non-binary,Canada,Data Scientist,7,54,No,9.96,2.48,1.94,8.36,8.7,2.1,70,Yes,4.88,Yes,3,<40K,3.04,3.51,1,"As a data scientist in Canada, I'm constantly overwhelmed by work commitments, leading to excessive stress levels of 1.94 out of 10 and a severe burnout of 9.96 out of 10, making it difficult for me to strike a balance between my job and personal life. My low job satisfaction of 2.48 out of 10 only adds to my overall wellbeing concerns, making me uncertain about my future career prospects and happiness. Despite having access to mental health support and therapy, my grueling 54-hour workweeks and lengthy 70-minute commutes are taking a significant toll on my physical and mental wellbeing."
39,Prefer not to say,Brazil,Data Scientist,5,33,Hybrid,8.1,2.3,5.59,4.44,4.3,9.1,97,Yes,7.28,Yes,4,40K-60K,7.2,4.34,1,"As a data scientist working in Brazil, I feel overwhelmed by the high stress levels associated with my job, which is impacting my overall wellbeing. Despite having some mental health support and access to therapy, I often find myself taking more mental health days due to burnout, and my job satisfaction is unfortunately at an all-time low. I'm trying to maintain some balance despite having a relatively long commute and long work hours, but it's a constant struggle to manage my workload and maintain my physical and mental health."
23,Male,Australia,Data Scientist,15,56,No,9.8,5.93,9.11,1.94,8.1,8.7,119,No,2.87,No,6,60K-80K,6.7,8.3,1,"As a 23-year-old male data scientist in Australia, working a demanding 56-hour week at a job he's held for 15 years, I often feel overwhelming stress levels and a deep-seated dissatisfaction with my role. My long commute and lack of remote work options contribute to the burnout that sets in when I'm not even thinking about work, like during my limited 8.1 hours of sleep per night or 8.7 hours of physical activity each week. Constantly being pulled away from a healthy work-life balance and struggling to find support from my manager makes it feel like I'm stuck in a never-ending cycle of exhaustion."
50,Male,Australia,Data Scientist,13,46,Yes,9.34,9.58,6.76,3.23,6,6.9,1,No,1.14,No,1,80K-100K,6.13,7.91,1,"As a 50-year-old data scientist in Australia, I've been experiencing a significant strain on my mental health due to the high stress levels and excessive burnout risk, which is affecting my overall wellbeing in the workplace. Working remotely with a demanding role has not provided the necessary balance, and although my salary range and job satisfaction are good, the lack of manager support and mental health resources has left me struggling to cope. With a burnout level of 9.34 and only averaging 6 hours of sleep, it's clear that my current work environment is taking a toll on my health and wellbeing."
53,Female,Germany,HR Specialist,13,37,Hybrid,5.22,7.26,8.56,6.8,4.1,3.1,43,Yes,9.3,Yes,5,40K-60K,9.38,1.6,0,"As an HR Specialist in Germany, I'm struggling to maintain a decent work-life balance with my demanding job that requires me to be present in the office for 37 hours a week, coupled with a 43-minute daily commute. Despite having excellent manager support and access to mental health resources, my high stress levels and lack of career growth opportunities are starting to take a toll on my overall wellbeing. I'm constantly exhausted, averaging only 4.1 hours of sleep per night, and my physical activities are limited due to my busy schedule."
51,Female,Germany,HR Specialist,5,47,Yes,4.19,6.31,8.8,9.7,5.6,9.1,85,Yes,2.94,Yes,0,80K-100K,2.4,4.74,0,"As an HR Specialist, I often find myself overwhelmed by work responsibilities, resulting in persistent high stress levels that affect my overall well-being. Despite having access to mental health support and therapy, the demanding 47-hour workweek, along with an 85-minute daily commute, has led to chronic fatigue and a poor work-life balance. With an already stressful job, I sometimes struggle to find time for myself and engage in regular physical activities, further compromising my overall wellbeing."
36,Non-binary,Germany,HR Specialist,8,37,Hybrid,4.93,4.37,6.96,7.44,7.7,9.3,106,Yes,7.33,Yes,0,40K-60K,1.99,4.79,0,"As an HR Specialist in Germany, I find myself constantly overwhelmed by the demands of my 8-year tenure, resulting in severe burnout and unrelenting stress levels that negatively impact my 7.7 hours of daily sleep and overall productivity. Despite having a hybrid remote work setup, my lengthy 37-hours workweek and 106-minute commute time make attaining a perfect work-life balance a pipedream, leading to feelings of dissatisfaction and exhaustion. Fortunately, my supportive manager and access to mental health resources provide a glimmer of hope, but it's a constant struggle to find equilibrium in my high-stress, 6.96-level job."
33,Prefer not to say,Australia,HR Specialist,9,33,Yes,6.85,5.54,8.63,8.43,5.4,2.2,82,No,7.72,Yes,2,100K+,8.28,9.02,0,"As an HR Specialist working from home in Australia, I feel like I'm constantly on edge due to the extremely high stress levels and the impact it has on my overall wellbeing. Despite having access to therapy and a supportive manager, the long work hours and poor sleep schedule take a significant toll, making it difficult to maintain a healthy work-life balance. The physical demands of my role and lack of face-to-face interaction with colleagues exacerbate my burnout, which affects my job satisfaction and overall productivity."
39,Prefer not to say,India,HR Specialist,18,38,Yes,8.97,2.54,3,4.19,6.1,1,40,Yes,4.49,Yes,2,40K-60K,4.5,6.19,1,"As an HR Specialist working remotely in India, I feel overwhelmed by the heavy workload and long working hours, often leaving me with just 6 hours of sleep each night. Despite having access to mental health support and my manager's excellent guidance, I still experience a high burnout level and struggle to maintain a balance between work and life due to the demanding 38-hour workweeks. The limited time for physical activity and a 40-minute commute add to my overall stress, making it challenging for me to find satisfaction in my job and enjoy my personal life."
27,Male,Canada,HR Specialist,9,37,Hybrid,8.72,7.86,7.06,4.76,6.1,6.3,45,Yes,7.61,Yes,2,100K+,6.73,9.98,1,"As an HR Specialist in Canada, I often feel drained and exhausted due to the high burnout level and long work hours, which take a toll on my mental health and overall wellbeing. I appreciate the support from my manager and the company's provision of mental health resources, such as access to therapy, but it's not enough to help me cope with the stress and pressure of my job. Despite the good career growth opportunities, I struggle to maintain a healthy work-life balance, resulting in poor sleep quality and reduced productivity."
59,Male,UK,HR Specialist,4,41,Yes,1.4,6.02,8.57,7.01,8.4,3.5,16,No,9.57,Yes,7,100K+,9.36,3.61,0,"As an HR Specialist, I feel overwhelmed by the high stress levels, which are taking a toll on my wellbeing, but I'm fortunate to have manager support that's truly exceptional. Despite this, I'm dealing with burnout issues and could be at risk of experiencing more, which is affecting my overall quality of life and my productivity score. When I'm not at work, I'm trying to prioritize my wellbeing by getting enough sleep and engaging in physical activity, but the constant pressure to maintain a high job satisfaction amidst the demands of my role is a challenge."
31,Prefer not to say,Brazil,HR Specialist,7,49,Hybrid,7.93,7.43,8.76,4.24,7.1,3.2,88,Yes,6.92,Yes,3,40K-60K,3.49,7.2,1,"As an HR Specialist in Brazil, working 49 hours a week can be emotionally draining, often leading to significant stress levels that impact their overall wellbeing. Their lack of physical activity and sleep, with only 7.1 hours of sleep per day and 3.2 hours of physical activity, further contribute to their burnout and decreased job satisfaction. Despite having access to mental health support and a supportive manager, their high stress levels and burnout symptoms often force them to take time off, affecting their work-life balance and overall wellbeing."
25,Male,Germany,HR Specialist,20,41,Yes,5.98,1.75,5.71,1.23,6.8,8.8,17,Yes,3.06,No,4,100K+,1.1,7.22,0,"As an HR Specialist in Germany, I often feel overwhelmed by the 41-hour workweek and the lack of a healthy work-life balance, resulting in a constant high stress level that affects my productivity. Despite having access to mental health support, I struggle to cope with the burnout that has become a persistent issue, taking a toll on my overall wellbeing. The lengthy 17-minute commute time and limited therapy access exacerbate the problem, leaving me feeling drained and disconnected from my job."
